treename,glottocode,BIN_soc_ids,EA_soc_ids,area,birds,population
Alyawarr,alya1239,B117,,46300,0,560
Bandjalang,band1339,B119,,6000,1,804
Dhuwal,dhuw1249,B88,Id2,5000,1,2000
Diyari,dier1241,B121,Id4,21800,0,420
Durubul,yaga1256,B114,,2300,1,500
Duungidjawu,duun1241,B115,,1370,1,219
Dyirbal,dyir1250,B105,,1300,1,585
FlindersIsland,flin1247,B98,,130,1,75
Jaru,jaru1254,B108,,33800,0,1345
Karajarri,kara1476,B104,,14300,0,536
Kariyarra,kari1304,B106,Id5,11700,0,650
Karuwali,karr1236,B116,,33000,0,660
Kaurna,kaur1267,B129,,7200,1,1296
KukuYalanji,kuku1273,B96,,1300,1,650
MartuWangka,many1256,B111,,22600,0,169
Ngaanyatjarra,ngaa1240,B118,,78000,0,312
Ngadjumaya,ngad1258,B132,,12700,1,889
Ngarrindjeri,narr1259,B131,,500,1,200
Ngiyambaa,wang1291,B130,Id9,70110,1,3589
Paakantyi,darl1243,B128,,19500,1,3008
PintupiLuritja,pint1250,B113,,22900,0,343
Pitjantjatjara,pitj1243,B120,,59800,0,358
Umpila,ump1239,B93,,700,1,217
Warlpiri,warl1254,B109,Id10,137800,0,1400
Warnman,wanm1242,B112,,78700,0,354
Warungu,waru1264,B107,,9600,1,1562
WikMungkan,wikm1247,B90,Id6,8300,1,150
Wirangu,wira1265,B127,,63700,0,300
Woiwurrung,woiw1237,B134,,7800,1,1953
Yuwaalaraay,gami1243,B125,,12000,1,1080
